Player,Team,Int,DFR,FF,SACK,DTD,STY,PA,TYdA,FPTS
Jacksonville Jaguars,JAC,17.7,11.1,17.4,47.2,4.2,1,292.1,4853.2,131.7
Los Angeles Rams,LAR,16.1,10.7,16.3,44.9,3.8,0.5,342.1,5514.6,122.2
Philadelphia Eagles,PHI,16.3,11.9,19,37.5,4,0.5,304.3,5161.4,118.9
Baltimore Ravens,BAL,17.3,11.6,17.4,38.1,3.8,0,313.2,5121.8,118.6
Los Angeles Chargers,LAC,15.8,10.8,15.5,42.1,3.7,0.5,316.1,5350.7,118.2
Minnesota Vikings,MIN,15.5,9.7,13.1,42.1,3.5,0.5,299.4,4905.2,114.7
Denver Broncos,DEN,14.8,10.5,13.7,39.8,3.7,0.5,346.1,4792.3,113.8
Carolina Panthers,CAR,13,11.9,18.7,43.8,3.1,0.5,348.8,5408.1,112.8
Houston Texans,HOU,14.1,10.1,14.3,41.8,3.5,0,359.1,5450.7,111.5
Pittsburgh Steelers,PIT,14.1,9.8,13.4,42.4,3.2,0,340.1,5406.6,109.1
Chicago Bears,CHI,11.6,11.2,16.5,42.9,3,0.5,355.2,5355.9,107.3
New Orleans Saints,NOS,16.2,9.5,13.4,35.2,3.3,0,367.1,5711,106.7
Detroit Lions,DET,14.4,10.3,15,34.4,3.4,1,368.9,5619.9,106.3
New England Patriots,NEP,14.4,9,11.1,39.5,3,0.5,326.5,5846.7,105.4
Arizona Cardinals,ARI,13.6,10.7,17.4,36.7,3.2,0.5,356.1,5045.6,105.3
Seattle Seahawks,SEA,14,10.5,14.9,37.3,3,0.5,338.4,5242.7,105.3
Tennessee Titans,TEN,13.6,9.9,14.1,38.3,3,0.5,344.1,5257.4,104.3
Washington Redskins,WAS,14.8,8.8,13.7,38.2,3.1,0,376.4,5630.8,104.3
Green Bay Packers,GBP,12,10.1,15,40.9,2.9,0.5,367.1,5612.9,103.7
Atlanta Falcons,ATL,12.4,11.6,18.4,35,3.3,0,352.4,5572.7,102.7
Kansas City Chiefs,KCC,14,11.5,16.7,31.2,3.2,0.5,371.9,5971.3,102.4
Dallas Cowboys,DAL,12.2,11.9,19,36.1,2.8,0,344.3,5473.7,101.2
Tampa Bay Buccaneers,TBB,14,11.7,18.3,29.2,3.3,0.5,394.1,6076.8,101.2
Buffalo Bills,BUF,15.8,8.3,12.7,31.9,2.8,0,362.7,5545.2,97.1
Miami Dolphins,MIA,12.3,9.2,14.4,33.7,2.8,0.5,376.9,5557.4,94.7
Cincinnati Bengals,CIN,14,7.4,9.6,36.5,2.4,0,349.2,5586.2,93.5
New York Giants,NYG,13.4,9.4,14.3,30.5,2.4,0.5,383.4,5911.1,91.1
San Francisco 49ers,SFO,12,9.8,13.6,30,2.6,0.5,394.6,5688.3,89.8
New York Jets,NYJ,12.3,9.6,14.7,32.2,2.2,0,367,5571.2,89
Oakland Raiders,OAK,11.1,10.4,16,30.6,2.4,0.5,385.8,5849.2,88.8
Cleveland Browns,CLE,12,8.3,12.9,32.2,2.1,0,402.5,5615.7,85.4
Indianapolis Colts,IND,11.8,8.6,13.9,29.1,2.3,0.5,407.4,5925.6,84.7
