Player,Team,FG,FGA,XP,FPTS
Greg Zuerlein,LAR,30.9,35.2,43.8,136.6
Justin Tucker,BAL,32.9,36.2,35.1,133.7
Stephen Gostkowski,NE,28.6,33.2,44.0,129.9
Wil Lutz,NO,28.4,32.6,43.1,128.2
Ka'imi Fairbairn,HOU,30.1,34.8,35.9,126.3
Harrison Butker,KC,26.6,31.2,44.3,124.2
Robbie Gould,SF,29.3,32.3,33.6,121.4
Michael Badgley,LAC,26.1,29.9,40.0,118.4
Jake Elliott,PHI,26.5,31.5,37.8,117.4
Matt Bryant,ATL,26.7,30.2,37.2,117.2
Brett Maher,DAL,26.7,32.7,36.7,116.9
Mason Crosby,GB,26.4,31.8,37.8,116.9
Matt Prater,DET,27.2,31.5,34.2,115.9
Jason Myers,SEA,25.1,28.7,38.7,113.8
Ryan Succop,TEN,26.4,31.2,32.3,111.6
Kaare Vedvik,NYJ,25.7,30.7,34.0,111.1
Austin Seibert,CLE,23.4,28.4,38.2,108.4
Matt Gay,TB,24.2,29.4,35.7,108.4
Eddy Pineiro,CHI,24.0,29.0,36.5,108.4
Aldrick Rosas,NYG,25.5,29.5,31.6,108.1
Chris Boswell,PIT,22.5,27.8,39.4,107.0
Dan Bailey,MIN,24.4,30.6,32.4,105.5
Adam Vinatieri,IND,24.5,29.4,31.4,104.8
Daniel Carlson,OAK,23.9,28.7,30.3,101.9
Josh Lambo,JAC,24.1,28.1,29.5,101.9
Joey Slye,CAR,22.2,26.8,34.5,101.1
Brandon McManus,DEN,23.4,28.5,30.7,100.9
Dustin Hopkins,WAS,23.7,28.1,27.3,98.5
Steven Hauschka,BUF,23.5,28.2,27.8,98.3
Randy Bullock,CIN,22.3,26.7,31.0,97.9
Jason Sanders,MIA,21.8,25.2,27.4,92.9
Zane Gonzalez,ARI,19.9,26.7,28.4,88.2
