Player,Team,Att,Cmp,Yd,TD,INT,CmpPct,YAtt,Att,Yd,Avg,TD,FL,FPTS
Patrick Mahomes,KC,581.3,379.9,4770.3,37.0,13.1,0.654,8.21,52.4,214.7,4.10,1.9,2.7,340.2
Deshaun Watson,HOU,511.7,337.8,4054.1,26.0,12.0,0.660,7.92,95.2,529.7,5.56,4.5,3.5,315.0
Aaron Rodgers,GB,590.2,374.8,4312.8,29.8,7.0,0.635,7.31,46.2,257.6,5.58,2.0,2.8,310.1
Matt Ryan,ATL,584.8,394.6,4625.9,30.0,10.1,0.675,7.91,48.2,128.7,2.67,1.4,2.5,301.2
Cam Newton,CAR,520.4,339.6,3770.3,24.0,13.9,0.653,7.25,112.9,545.8,4.83,4.7,2.4,297.1
Drew Brees,NO,539.0,387.4,4306.5,30.3,8.4,0.719,7.99,24.7,29.4,1.19,2.0,2.1,287.5
Baker Mayfield,CLE,562.2,361.1,4353.2,31.5,14.4,0.642,7.74,47.1,164.2,3.49,0.7,2.9,286.0
Andrew Luck,IND,565.5,371.3,4169.4,31.1,12.8,0.657,7.37,48.8,179.7,3.68,1.2,2.7,285.6
Carson Wentz,PHI,568.9,376.3,4256.7,30.5,11.8,0.661,7.48,52.4,189.7,3.62,0.8,3.4,285.6
Dak Prescott,DAL,522.4,344.7,3829.3,23.2,10.3,0.660,7.33,67.5,317.0,4.70,5.8,3.1,285.5
Jameis Winston,TB,564.5,358.6,4476.3,27.4,16.8,0.635,7.93,57.2,269.1,4.70,1.4,3.3,283.8
Lamar Jackson,BAL,436.0,258.9,3042.5,18.1,10.8,0.594,6.98,176.7,852.7,4.83,6.2,6.0,282.7
Jared Goff,LAR,549.5,351.0,4378.0,30.1,11.3,0.639,7.97,31.1,88.3,2.84,1.1,2.8,282.4
Ben Roethlisberger,PIT,620.2,406.3,4654.0,29.5,15.6,0.655,7.50,23.3,68.9,2.96,1.2,2.3,282.1
Russell Wilson,SEA,454.9,292.8,3544.3,28.5,9.2,0.644,7.79,72.7,389.9,5.36,1.9,3.1,281.4
Kyler Murray,ARI,539.5,333.1,3753.5,22.7,14.3,0.617,6.96,107.0,566.9,5.30,3.4,4.2,281.0
Tom Brady,NE,580.9,378.9,4366.6,29.1,10.8,0.652,7.52,20.8,42.3,2.03,1.1,2.1,276.3
Philip Rivers,LAC,546.8,360.5,4387.3,30.5,12.1,0.659,8.02,13.5,22.3,1.65,0.1,1.9,272.0
Mitch Trubisky,CHI,514.1,334.6,3773.4,25.0,13.0,0.651,7.34,65.9,388.8,5.90,2.3,3.1,271.8
Kirk Cousins,MIN,573.3,393.6,4143.0,27.5,11.6,0.687,7.23,38.8,126.1,3.25,2.0,3.0,270.9
Josh Allen,BUF,478.6,269.9,3245.0,17.8,14.8,0.564,6.78,102.5,644.7,6.29,6.2,3.3,266.6
Derek Carr,OAK,570.5,379.6,4179.1,24.4,12.0,0.665,7.33,24.5,70.6,2.88,0.6,2.8,245.7
