Player,Team,Att,Yd,Avg,TD,Recpt,Yd,Avg,TD,FL,FPTS
Saquon Barkley,NYG,268.6,1267.0,4.72,9.6,90.8,714.0,7.86,3.6,2.4,272.4
Ezekiel Elliott,DAL,292.2,1337.1,4.58,9.4,67.9,521.7,7.68,2.6,3.0,252.0
Alvin Kamara,NO,194.3,892.0,4.59,9.9,86.8,767.0,8.84,4.8,1.9,250.3
Christian McCaffrey,CAR,213.1,1030.8,4.84,6.4,98.6,813.9,8.25,5.0,2.3,248.7
David Johnson,ARI,247.8,991.2,4.00,7.8,62.9,587.1,9.33,3.3,2.4,219.4
Le'Veon Bell,NYJ,246.2,1080.6,4.39,7.4,62.8,506.2,8.06,2.4,2.0,214.0
James Conner,PIT,231.4,1028.4,4.44,9.9,54.9,443.9,8.09,1.5,2.3,211.4
Todd Gurley,LAR,211.0,977.8,4.63,9.9,43.4,397.1,9.15,2.6,1.5,209.1
Joe Mixon,CIN,247.7,1150.8,4.65,8.5,48.7,355.3,7.30,1.2,2.0,204.9
Nick Chubb,CLE,249.3,1174.2,4.71,9.3,32.7,248.2,7.59,1.6,1.8,203.7
Dalvin Cook,MIN,238.1,1075.6,4.52,6.6,59.0,447.4,7.58,2.2,2.3,200.5
Kerryon Johnson,DET,217.3,1030.2,4.74,6.4,51.9,360.8,6.95,2.0,2.0,185.6
Damien Williams,KC,172.3,767.3,4.45,7.6,48.7,393.2,8.07,3.9,1.4,181.9
Leonard Fournette,JAC,249.8,947.0,3.79,7.8,43.3,356.6,8.24,1.4,1.9,181.8
Derrick Henry,TEN,249.7,1140.2,4.57,9.5,16.3,123.0,7.55,0.2,1.5,181.4
Devonta Freeman,ATL,206.7,921.7,4.46,7.4,46.2,359.6,7.78,1.9,1.5,181.1
Chris Carson,SEA,243.3,1102.7,4.53,7.9,27.4,209.6,7.65,0.8,2.1,179.2
Melvin Gordon,LAC,172.0,798.5,4.64,7.2,42.9,387.4,9.03,2.5,1.4,174.2
Aaron Jones,GB,181.7,909.3,5.00,8.1,36.1,272.1,7.54,1.3,1.4,171.5
Josh Jacobs,OAK,211.3,910.7,4.31,6.4,42.0,348.2,8.29,1.5,1.6,169.8
Marlon Mack,IND,236.7,1053.1,4.45,7.0,26.1,185.2,7.10,0.9,2.0,167.4
Mark Ingram,BAL,219.2,975.2,4.45,7.0,33.2,246.6,7.43,0.9,1.7,166.2
