Player,Team,Recpt,Yd,Avg,TD,FL,FPTS
Travis Kelce,KC,96.6,1243.9,12.88,9.8,0.9,181.3
George Kittle,SF,85.8,1187.9,13.84,6.5,0.6,156.3
Zach Ertz,PHI,90.5,961.2,10.62,7.3,0.8,138.7
O.J. Howard,TB,59.2,826.0,13.95,6.5,0.8,120.0
Evan Engram,NYG,68.5,815.5,11.91,5.2,0.7,111.5
Jared Cook,NO,59.6,761.9,12.78,6.0,0.7,110.6
Hunter Henry,LAC,57.0,725.5,12.73,6.5,0.7,110.4
Vance McDonald,PIT,55.2,673.0,12.19,4.9,0.8,95.2
David Njoku,CLE,55.0,647.5,11.77,4.9,0.6,92.9
Austin Hooper,ATL,61.5,604.6,9.83,4.4,0.6,85.8
Delanie Walker,TEN,56.0,624.4,11.15,4.0,0.7,85.1
Mark Andrews,BAL,45.4,598.9,13.19,4.0,0.2,83.3
Eric Ebron,IND,47.2,524.2,11.11,4.9,0.6,80.6
Trey Burton,CHI,50.1,544.9,10.88,4.4,0.7,79.7
Jordan Reed,WAS,59.5,603.6,10.14,3.4,0.8,79.4
Jimmy Graham,GB,51.8,559.7,10.81,4.1,0.6,79.3
Greg Olsen,CAR,44.1,516.8,11.72,4.6,0.1,79.1
Kyle Rudolph,MIN,51.5,505.7,9.82,4.4,0.6,75.6
T.J. Hockenson,DET,48.5,519.3,10.71,3.9,1.1,73.2
Noah Fant,DEN,44.9,503.2,11.21,3.6,0.6,70.6
Dallas Goedert,PHI,37.8,393.1,10.40,4.6,0.1,66.7
Chris Herndon IV,NYJ,35.5,436.0,12.28,3.9,0.1,66.7
Darren Waller,OAK,40.6,454.5,11.19,3.5,0.7,65.1
Tyler Eifert,CIN,42.4,453.8,10.70,3.2,0.1,64.4
Jason Witten,DAL,45.5,438.9,9.65,3.3,0.7,62.6
Jack Doyle,IND,47.4,434.9,9.18,3.1,1.2,59.5
Will Dissly,SEA,26.9,344.9,12.82,3.3,0.1,54.3
Vernon Davis,WAS,28.0,364.5,13.02,2.3,0.1,50.1
Mike Gesicki,MIA,36.4,367.5,10.10,2.4,1.1,48.9
Geoff Swaim,JAC,38.0,375.1,9.87,2.1,0.6,48.8
Cameron Brate,TB,27.8,282.8,10.17,3.4,0.6,47.7
Gerald Everett,LAR,27.4,297.7,10.86,2.8,0.1,46.1
Benjamin Watson,NE,25.4,287.0,11.30,2.1,0.1,41.1
Ricky Seals-Jones,ARI,24.8,284.0,11.45,2.0,0.0,40.1
Jordan Thomas,HOU,24.2,263.7,10.90,2.2,0.1,39.6
Ian Thomas,CAR,27.1,269.4,9.94,2.0,0.1,39.0
Jace Sternberger,GB,25.4,262.8,10.35,2.2,0.5,38.2
Josh Oliver,JAC,28.4,301.0,10.60,1.5,0.6,38.0
Hayden Hurst,BAL,21.9,253.8,11.59,2.0,0.1,37.2
Irv Smith Jr.,MIN,24.4,249.2,10.21,1.7,0.6,34.2
C.J. Uzomah,CIN,25.3,248.1,9.81,1.5,0.1,33.9
Foster Moreau,OAK,23.7,237.8,10.03,1.7,0.5,33.1
Charles Clay,ARI,24.8,243.5,9.82,1.6,0.6,32.7
Matt LaCosse,NE,22.1,243.0,11.00,1.4,0.1,32.4
Blake Jarwin,DAL,19.8,209.3,10.57,1.7,0.0,31.1
Tyler Higbee,LAR,18.7,214.2,11.45,1.6,0.0,30.7
Adam Shaheen,CHI,19.8,201.9,10.20,1.7,0.0,30.3
Jesse James,DET,20.6,209.8,10.18,1.5,0.0,29.7
Nick O'Leary,MIA,15.5,198.1,12.78,1.6,0.1,29.3
Jonnu Smith,TEN,17.6,189.0,10.74,1.6,0.0,28.5
Nick Vannett,SEA,19.6,181.8,9.28,1.7,0.0,28.2
Tyler Kroft,BUF,19.2,200.3,10.43,1.4,0.1,28.1
Ed Dickson,SEA,14.1,162.5,11.52,2.0,0.0,28.0
Luke Stocker,ATL,12.8,148.8,11.63,2.0,0.0,27.1
Demetrius Harris,CLE,14.7,168.3,11.45,1.7,0.0,26.9
Rhett Ellison,NYG,18.1,192.2,10.62,1.2,0.0,26.6
Dawson Knox,BUF,17.2,198.9,11.56,1.1,0.1,26.4
James O'Shaughnessy,JAC,18.2,185.6,10.20,1.0,0.1,24.7
Jason Croom,BUF,13.5,163.8,12.13,1.2,0.0,23.6
Xavier Grimble,PIT,16.2,192.9,11.91,1.2,1.6,23.4
Virgil Green,LAC,15.0,161.0,10.73,1.3,0.5,22.5
Jeff Heuerman,DEN,15.6,152.3,9.76,1.1,0.0,21.9
Garrett Griffin,NO,12.0,98.0,8.17,2.0,0.0,21.8
Ryan Griffin,NYJ,13.8,156.4,11.33,1.0,0.0,21.6
Darren Fells,HOU,11.7,155.0,13.25,1.0,0.0,21.4
Mo Alie-Cox,IND,11.4,145.1,12.73,1.1,0.0,21.1
Drew Sample,CIN,15.1,146.5,9.70,1.2,0.5,20.9
Kahale Warring,HOU,15.0,156.8,10.45,0.9,0.1,20.8
