Player,Team,Recpt,Yd,Avg,TD,FL,FPTS
Antonio Brown,PIT,104.7,1469.1,14.0,10.1,0.1,207.5
DeAndre Hopkins,HOU,93.5,1331.0,14.2,9.7,0.6,190.1
Julio Jones,ATL,93.8,1452.6,15.5,6.7,0.1,186.2
Odell Beckham Jr.,NYG,96.6,1260.4,13.0,8.3,0.5,176.2
Michael Thomas,NO,99.1,1233.1,12.4,7.3,0.2,167.1
Keenan Allen,LAC,95.6,1249.5,13.1,6.9,0.2,166.8
Davante Adams,GB,84.8,1077.0,12.7,9.2,0.2,162.5
A.J. Green,CIN,85.6,1190.1,13.9,7.6,1.2,162.3
Mike Evans,TB,80.5,1131.4,14.1,7.1,0.2,155.4
T.Y. Hilton,IND,72.3,1115.1,15.4,6.6,0.7,150.1
Tyreek Hill,KC,75.5,989.2,13.1,6.0,0.3,149.1
Doug Baldwin,SEA,78.9,1024.5,13.0,7.0,0.2,144.9
Amari Cooper,OAK,77.5,1035.0,13.4,6.6,0.2,143.0
Adam Thielen,MIN,81.8,1100.0,13.4,5.6,1.3,141.9
Stefon Diggs,MIN,76.6,990.5,12.9,6.4,0.2,140.9
Demaryius Thomas,DEN,84.0,1010.5,12.0,5.9,0.9,134.6
JuJu Smith-Schuster,PIT,66.2,908.3,13.7,7.1,0.1,133.5
Brandin Cooks,LAR,61.2,898.2,14.7,6.1,0.3,131.6
Marvin Jones,DET,61.0,920.6,15.1,6.6,0.3,131.1
Larry Fitzgerald,ARI,96.6,996.4,10.3,5.4,0.8,130.7
Allen Robinson,CHI,68.5,955.7,14.0,5.9,0.2,130.7
Golden Tate,DET,90.3,993.1,11.0,5.0,0.8,130.1
Chris Hogan,NE,59.9,850.9,14.2,6.5,0.2,125.5
Josh Gordon,CLE,62.6,921.2,14.7,5.6,0.3,125.1
Alshon Jeffery,PHI,58.8,840.0,14.3,6.7,0.2,123.7
Sammy Watkins,KC,60.5,862.3,14.3,5.8,0.1,121.0
Marquise Goodwin,SF,57.5,879.9,15.3,5.1,0.2,120.7
Michael Crabtree,BAL,74.7,835.7,11.2,6.2,0.1,120.3
Jarvis Landry,CLE,87.1,915.0,10.5,5.1,1.8,119.0
Devin Funchess,CAR,58.2,826.9,14.2,6.1,0.2,118.8
Robby Anderson,NYJ,61.6,845.1,13.7,5.2,0.3,117.0
Robert Woods,LAR,63.0,829.7,13.2,5.0,0.7,112.6
Randall Cobb,GB,72.9,755.8,10.4,5.4,0.2,112.5
Emmanuel Sanders,DEN,67.5,856.6,12.7,4.4,0.2,112.2
Cooper Kupp,LAR,63.2,816.7,12.9,5.3,0.8,111.7
Pierre Garcon,SF,69.2,879.7,12.7,3.9,0.3,111.0
Kenny Stills,MIA,57.4,830.8,14.5,4.8,1.1,109.7
Corey Davis,TEN,68.3,813.9,11.9,4.9,1.4,108.2
Will Fuller,HOU,50.0,709.7,14.2,5.5,0.2,104.8
Jordy Nelson,OAK,65.4,723.7,11.1,5.2,0.4,103.8
Jamison Crowder,WAS,68.6,799.0,11.6,4.2,1.9,103.6
Nelson Agholor,PHI,59.7,709.4,11.9,5.2,0.2,103.6
Marqise Lee,JAC,58.5,767.0,13.1,4.3,0.2,103.4
